Pavarde        Vardas         Galutinis      
Pavarde2031    Vardas2031     5.60           
Pavarde2033    Vardas2033     8.72           
Pavarde2034    Vardas2034     7.08           
Pavarde2036    Vardas2036     7.40           
Pavarde2037    Vardas2037     5.32           
Pavarde2038    Vardas2038     6.00           
Pavarde2039    Vardas2039     5.92           
Pavarde2044    Vardas2044     5.72           
Pavarde2045    Vardas2045     7.40           
Pavarde2047    Vardas2047     7.44           
Pavarde2048    Vardas2048     8.40           
Pavarde2049    Vardas2049     5.08           
Pavarde2050    Vardas2050     8.32           
Pavarde2052    Vardas2052     5.40           
Pavarde2053    Vardas2053     7.00           
Pavarde2055    Vardas2055     7.84           
Pavarde2056    Vardas2056     9.20           
Pavarde2057    Vardas2057     7.84           
Pavarde2058    Vardas2058     5.36           
Pavarde2060    Vardas2060     5.76           
Pavarde2061    Vardas2061     6.52           
Pavarde2062    Vardas2062     7.76           
Pavarde2065    Vardas2065     8.08           
Pavarde2068    Vardas2068     6.28           
Pavarde2070    Vardas2070     7.72           
Pavarde2071    Vardas2071     8.56           
Pavarde2073    Vardas2073     7.32           
Pavarde2074    Vardas2074     7.96           
Pavarde2075    Vardas2075     7.88           
Pavarde2076    Vardas2076     8.00           
Pavarde2078    Vardas2078     7.72           
Pavarde2079    Vardas2079     6.20           
Pavarde2081    Vardas2081     7.68           
Pavarde2082    Vardas2082     8.00           
Pavarde2083    Vardas2083     5.68           
Pavarde2084    Vardas2084     6.20           
Pavarde2085    Vardas2085     8.32           
Pavarde2086    Vardas2086     5.56           
Pavarde2087    Vardas2087     6.88           
Pavarde2088    Vardas2088     7.76           
Pavarde2089    Vardas2089     5.92           
Pavarde2090    Vardas2090     7.48           
Pavarde2091    Vardas2091     5.68           
Pavarde2092    Vardas2092     7.28           
Pavarde2093    Vardas2093     6.04           
Pavarde2095    Vardas2095     7.80           
Pavarde2096    Vardas2096     5.72           
Pavarde2097    Vardas2097     8.00           
Pavarde2099    Vardas2099     5.24           
Pavarde2100    Vardas2100     7.60           
Pavarde2102    Vardas2102     8.88           
Pavarde2103    Vardas2103     6.32           
Pavarde2104    Vardas2104     6.32           
Pavarde2105    Vardas2105     6.00           
Pavarde2106    Vardas2106     7.44           
Pavarde2107    Vardas2107     5.88           
Pavarde2108    Vardas2108     5.12           
Pavarde2111    Vardas2111     5.68           
Pavarde2113    Vardas2113     6.28           
Pavarde2115    Vardas2115     6.24           
Pavarde2117    Vardas2117     5.12           
Pavarde2118    Vardas2118     6.92           
Pavarde2119    Vardas2119     5.40           
Pavarde2120    Vardas2120     6.08           
Pavarde2122    Vardas2122     8.12           
Pavarde2124    Vardas2124     5.72           
Pavarde2130    Vardas2130     7.08           
Pavarde2131    Vardas2131     5.68           
Pavarde2132    Vardas2132     6.40           
Pavarde2133    Vardas2133     8.24           
Pavarde2134    Vardas2134     6.08           
Pavarde2137    Vardas2137     7.16           
Pavarde2139    Vardas2139     5.96           
Pavarde2142    Vardas2142     5.40           
Pavarde2143    Vardas2143     7.00           
Pavarde2145    Vardas2145     5.80           
Pavarde2147    Vardas2147     7.72           
Pavarde2151    Vardas2151     5.36           
Pavarde2152    Vardas2152     7.60           
Pavarde2155    Vardas2155     8.32           
Pavarde2156    Vardas2156     7.28           
Pavarde2159    Vardas2159     8.08           
Pavarde2160    Vardas2160     5.08           
Pavarde2161    Vardas2161     8.32           
Pavarde2162    Vardas2162     5.24           
Pavarde2165    Vardas2165     6.08           
Pavarde2166    Vardas2166     5.96           
Pavarde2167    Vardas2167     6.80           
Pavarde2168    Vardas2168     5.32           
Pavarde2171    Vardas2171     8.00           
Pavarde2172    Vardas2172     5.72           
Pavarde2173    Vardas2173     6.76           
Pavarde2175    Vardas2175     7.88           
Pavarde2177    Vardas2177     6.80           
Pavarde2181    Vardas2181     5.00           
Pavarde2182    Vardas2182     5.28           
Pavarde2183    Vardas2183     6.96           
Pavarde2185    Vardas2185     5.08           
Pavarde2189    Vardas2189     6.92           
Pavarde2191    Vardas2191     7.48           
Pavarde2194    Vardas2194     8.24           
Pavarde2195    Vardas2195     6.92           
Pavarde2198    Vardas2198     7.76           
Pavarde2200    Vardas2200     7.36           
Pavarde2201    Vardas2201     8.08           
Pavarde2202    Vardas2202     5.12           
Pavarde2204    Vardas2204     6.40           
Pavarde2205    Vardas2205     7.80           
Pavarde2207    Vardas2207     5.00           
Pavarde2208    Vardas2208     7.28           
Pavarde2210    Vardas2210     7.08           
Pavarde2213    Vardas2213     5.84           
Pavarde2214    Vardas2214     7.48           
Pavarde2217    Vardas2217     6.96           
Pavarde2219    Vardas2219     7.96           
Pavarde2220    Vardas2220     7.72           
Pavarde2221    Vardas2221     8.56           
Pavarde2222    Vardas2222     5.32           
Pavarde2225    Vardas2225     6.44           
Pavarde2227    Vardas2227     7.16           
Pavarde2229    Vardas2229     6.92           
Pavarde2230    Vardas2230     6.24           
Pavarde2235    Vardas2235     6.12           
Pavarde2236    Vardas2236     6.40           
Pavarde2239    Vardas2239     5.52           
Pavarde2241    Vardas2241     7.24           
Pavarde2242    Vardas2242     8.16           
Pavarde2243    Vardas2243     6.04           
Pavarde2244    Vardas2244     5.80           
Pavarde2247    Vardas2247     8.60           
Pavarde2248    Vardas2248     5.08           
Pavarde2249    Vardas2249     6.56           
Pavarde2250    Vardas2250     7.32           
Pavarde2252    Vardas2252     7.52           
Pavarde2253    Vardas2253     7.64           
Pavarde2254    Vardas2254     5.12           
Pavarde2255    Vardas2255     7.48           
Pavarde2258    Vardas2258     5.92           
Pavarde2261    Vardas2261     8.04           
Pavarde2262    Vardas2262     6.20           
Pavarde2263    Vardas2263     8.08           
Pavarde2264    Vardas2264     7.20           
Pavarde2265    Vardas2265     7.32           
Pavarde2267    Vardas2267     5.00           
Pavarde2268    Vardas2268     7.20           
Pavarde2269    Vardas2269     6.00           
Pavarde2270    Vardas2270     8.12           
Pavarde2271    Vardas2271     7.52           
Pavarde2272    Vardas2272     5.84           
Pavarde2273    Vardas2273     7.52           
Pavarde2274    Vardas2274     7.96           
Pavarde2275    Vardas2275     5.24           
Pavarde2276    Vardas2276     6.68           
Pavarde2277    Vardas2277     8.48           
Pavarde2279    Vardas2279     7.80           
Pavarde2280    Vardas2280     8.56           
Pavarde2281    Vardas2281     5.72           
Pavarde2282    Vardas2282     5.84           
Pavarde2285    Vardas2285     6.32           
Pavarde2286    Vardas2286     5.20           
Pavarde2287    Vardas2287     8.52           
Pavarde2288    Vardas2288     6.40           
Pavarde2290    Vardas2290     7.60           
Pavarde2292    Vardas2292     6.68           
Pavarde2293    Vardas2293     5.88           
Pavarde2296    Vardas2296     8.64           
Pavarde2300    Vardas2300     6.32           
Pavarde2301    Vardas2301     9.20           
Pavarde2302    Vardas2302     5.64           
Pavarde2303    Vardas2303     6.16           
Pavarde2304    Vardas2304     5.40           
Pavarde2305    Vardas2305     5.04           
Pavarde2306    Vardas2306     5.08           
Pavarde2308    Vardas2308     8.36           
Pavarde2309    Vardas2309     6.48           
Pavarde2310    Vardas2310     5.64           
Pavarde2311    Vardas2311     8.08           
Pavarde2312    Vardas2312     5.12           
Pavarde2314    Vardas2314     5.00           
Pavarde2319    Vardas2319     7.92           
Pavarde2322    Vardas2322     5.48           
Pavarde2323    Vardas2323     6.88           
Pavarde2324    Vardas2324     6.28           
Pavarde2325    Vardas2325     6.36           
Pavarde2327    Vardas2327     7.64           
Pavarde2328    Vardas2328     6.44           
Pavarde2329    Vardas2329     7.64           
Pavarde2331    Vardas2331     7.44           
Pavarde2332    Vardas2332     6.68           
Pavarde2334    Vardas2334     6.88           
Pavarde2336    Vardas2336     7.20           
Pavarde2338    Vardas2338     6.08           
Pavarde2339    Vardas2339     6.76           
Pavarde2341    Vardas2341     5.36           
Pavarde2342    Vardas2342     8.24           
Pavarde2343    Vardas2343     8.52           
Pavarde2347    Vardas2347     8.68           
Pavarde2348    Vardas2348     5.44           
Pavarde2350    Vardas2350     6.28           
Pavarde2353    Vardas2353     7.64           
Pavarde2354    Vardas2354     5.56           
Pavarde2355    Vardas2355     8.24           
Pavarde2356    Vardas2356     8.08           
Pavarde2358    Vardas2358     7.44           
Pavarde2361    Vardas2361     6.00           
Pavarde2362    Vardas2362     6.48           
Pavarde2364    Vardas2364     5.40           
Pavarde2365    Vardas2365     8.28           
Pavarde2368    Vardas2368     7.60           
Pavarde2370    Vardas2370     5.68           
Pavarde2371    Vardas2371     6.76           
Pavarde2372    Vardas2372     5.60           
Pavarde2373    Vardas2373     8.16           
Pavarde2374    Vardas2374     8.88           
Pavarde2375    Vardas2375     6.04           
Pavarde2376    Vardas2376     5.20           
Pavarde2379    Vardas2379     5.28           
Pavarde2380    Vardas2380     5.20           
Pavarde2381    Vardas2381     5.40           
Pavarde2382    Vardas2382     8.32           
Pavarde2383    Vardas2383     8.40           
Pavarde2384    Vardas2384     6.96           
Pavarde2385    Vardas2385     7.04           
Pavarde2386    Vardas2386     8.80           
Pavarde2388    Vardas2388     6.44           
Pavarde2390    Vardas2390     5.16           
Pavarde2391    Vardas2391     5.04           
Pavarde2392    Vardas2392     5.44           
Pavarde2393    Vardas2393     5.88           
Pavarde2396    Vardas2396     5.60           
Pavarde2397    Vardas2397     8.16           
Pavarde2399    Vardas2399     6.44           
Pavarde2400    Vardas2400     7.92           
Pavarde2404    Vardas2404     7.24           
Pavarde2405    Vardas2405     6.60           
Pavarde2406    Vardas2406     8.20           
Pavarde2407    Vardas2407     5.48           
Pavarde2409    Vardas2409     8.56           
Pavarde2413    Vardas2413     7.64           
Pavarde2414    Vardas2414     7.96           
Pavarde2415    Vardas2415     6.04           
Pavarde2417    Vardas2417     8.40           
Pavarde2418    Vardas2418     6.04           
Pavarde2419    Vardas2419     5.76           
Pavarde2420    Vardas2420     5.28           
Pavarde2423    Vardas2423     7.04           
Pavarde2426    Vardas2426     5.40           
Pavarde2428    Vardas2428     7.04           
Pavarde2430    Vardas2430     6.20           
Pavarde2431    Vardas2431     7.52           
Pavarde2432    Vardas2432     6.00           
Pavarde2433    Vardas2433     7.56           
Pavarde2435    Vardas2435     6.36           
Pavarde2436    Vardas2436     7.04           
Pavarde2437    Vardas2437     7.44           
Pavarde2438    Vardas2438     5.48           
Pavarde2439    Vardas2439     8.16           
Pavarde2441    Vardas2441     6.24           
Pavarde2442    Vardas2442     7.12           
Pavarde2443    Vardas2443     8.00           
Pavarde2444    Vardas2444     5.36           
Pavarde2453    Vardas2453     6.52           
Pavarde2454    Vardas2454     5.60           
Pavarde2455    Vardas2455     8.32           
Pavarde2457    Vardas2457     7.96           
Pavarde2458    Vardas2458     6.36           
Pavarde2461    Vardas2461     8.96           
Pavarde2462    Vardas2462     6.92           
Pavarde2464    Vardas2464     7.56           
Pavarde2465    Vardas2465     5.12           
Pavarde2466    Vardas2466     6.28           
Pavarde2469    Vardas2469     6.64           
Pavarde2470    Vardas2470     6.72           
Pavarde2472    Vardas2472     7.52           
Pavarde2474    Vardas2474     7.36           
Pavarde2475    Vardas2475     5.84           
Pavarde2477    Vardas2477     5.44           
Pavarde2479    Vardas2479     7.12           
Pavarde2480    Vardas2480     8.04           
Pavarde2485    Vardas2485     7.68           
Pavarde2486    Vardas2486     7.00           
Pavarde2488    Vardas2488     5.32           
Pavarde2489    Vardas2489     7.72           
Pavarde2490    Vardas2490     5.16           
Pavarde2491    Vardas2491     6.36           
Pavarde2492    Vardas2492     5.96           
Pavarde2493    Vardas2493     8.24           
Pavarde2494    Vardas2494     6.88           
Pavarde2496    Vardas2496     6.76           
Pavarde2499    Vardas2499     5.36           
Pavarde2501    Vardas2501     7.00           
Pavarde2502    Vardas2502     5.84           
Pavarde2503    Vardas2503     6.00           
Pavarde2506    Vardas2506     8.08           
Pavarde2510    Vardas2510     5.68           
Pavarde2513    Vardas2513     6.88           
Pavarde2514    Vardas2514     5.52           
Pavarde2515    Vardas2515     7.64           
Pavarde2516    Vardas2516     7.36           
Pavarde2518    Vardas2518     6.48           
Pavarde2519    Vardas2519     8.56           
Pavarde2523    Vardas2523     8.08           
Pavarde2524    Vardas2524     7.20           
Pavarde2525    Vardas2525     7.08           
Pavarde2527    Vardas2527     7.76           
Pavarde2528    Vardas2528     5.56           
Pavarde2530    Vardas2530     7.20           
Pavarde2532    Vardas2532     7.96           
Pavarde2534    Vardas2534     6.20           
Pavarde2535    Vardas2535     7.16           
Pavarde2536    Vardas2536     8.32           
Pavarde2540    Vardas2540     5.76           
Pavarde2542    Vardas2542     5.44           
Pavarde2543    Vardas2543     8.08           
Pavarde2545    Vardas2545     7.48           
Pavarde2546    Vardas2546     6.48           
Pavarde2548    Vardas2548     8.68           
Pavarde2549    Vardas2549     7.24           
Pavarde2550    Vardas2550     5.76           
Pavarde2552    Vardas2552     7.12           
Pavarde2554    Vardas2554     7.00           
Pavarde2555    Vardas2555     7.56           
Pavarde2556    Vardas2556     6.84           
Pavarde2557    Vardas2557     6.24           
Pavarde2558    Vardas2558     7.40           
Pavarde2559    Vardas2559     6.36           
Pavarde2560    Vardas2560     8.24           
Pavarde2561    Vardas2561     7.52           
Pavarde2563    Vardas2563     6.16           
Pavarde2564    Vardas2564     5.72           
Pavarde2565    Vardas2565     7.04           
Pavarde2567    Vardas2567     5.80           
Pavarde2568    Vardas2568     7.16           
Pavarde2569    Vardas2569     6.56           
Pavarde2573    Vardas2573     5.24           
Pavarde2574    Vardas2574     5.00           
Pavarde2575    Vardas2575     5.24           
Pavarde2577    Vardas2577     5.08           
Pavarde2578    Vardas2578     8.04           
Pavarde2579    Vardas2579     6.20           
Pavarde2580    Vardas2580     8.24           
Pavarde2582    Vardas2582     7.68           
Pavarde2587    Vardas2587     7.40           
Pavarde2588    Vardas2588     5.44           
Pavarde2590    Vardas2590     5.88           
Pavarde2591    Vardas2591     5.08           
Pavarde2593    Vardas2593     8.24           
Pavarde2595    Vardas2595     7.28           
Pavarde2596    Vardas2596     5.40           
Pavarde2597    Vardas2597     5.48           
Pavarde2598    Vardas2598     7.12           
Pavarde2599    Vardas2599     6.68           
Pavarde2600    Vardas2600     8.48           
Pavarde2601    Vardas2601     7.96           
Pavarde2602    Vardas2602     6.04           
Pavarde2603    Vardas2603     5.24           
Pavarde2605    Vardas2605     5.24           
Pavarde2607    Vardas2607     8.84           
Pavarde2611    Vardas2611     7.64           
Pavarde2612    Vardas2612     8.16           
Pavarde2614    Vardas2614     7.60           
Pavarde2615    Vardas2615     6.92           
Pavarde2618    Vardas2618     7.12           
Pavarde2619    Vardas2619     6.96           
Pavarde2623    Vardas2623     5.00           
Pavarde2625    Vardas2625     7.96           
Pavarde2626    Vardas2626     8.64           
Pavarde2627    Vardas2627     6.20           
Pavarde2629    Vardas2629     6.60           
Pavarde2630    Vardas2630     7.04           
Pavarde2632    Vardas2632     5.00           
Pavarde2633    Vardas2633     7.92           
Pavarde2634    Vardas2634     5.04           
Pavarde2635    Vardas2635     8.40           
Pavarde2638    Vardas2638     5.44           
Pavarde2640    Vardas2640     6.44           
Pavarde2641    Vardas2641     7.60           
Pavarde2643    Vardas2643     7.60           
Pavarde2644    Vardas2644     6.56           
Pavarde2645    Vardas2645     5.96           
Pavarde2646    Vardas2646     5.68           
Pavarde2647    Vardas2647     6.20           
Pavarde2648    Vardas2648     8.24           
Pavarde2649    Vardas2649     9.20           
Pavarde2650    Vardas2650     6.76           
Pavarde2652    Vardas2652     6.20           
Pavarde2653    Vardas2653     5.40           
Pavarde2655    Vardas2655     6.36           
Pavarde2656    Vardas2656     6.72           
Pavarde2659    Vardas2659     8.00           
Pavarde2660    Vardas2660     7.32           
Pavarde2661    Vardas2661     8.12           
Pavarde2663    Vardas2663     7.20           
Pavarde2664    Vardas2664     7.12           
Pavarde2667    Vardas2667     7.36           
Pavarde2668    Vardas2668     5.20           
Pavarde2669    Vardas2669     7.40           
Pavarde2673    Vardas2673     5.72           
Pavarde2674    Vardas2674     6.20           
Pavarde2675    Vardas2675     5.32           
Pavarde2678    Vardas2678     5.28           
Pavarde2679    Vardas2679     7.12           
Pavarde2682    Vardas2682     7.60           
Pavarde2685    Vardas2685     8.08           
Pavarde2686    Vardas2686     5.32           
Pavarde2687    Vardas2687     6.12           
Pavarde2689    Vardas2689     5.20           
Pavarde2690    Vardas2690     8.16           
Pavarde2691    Vardas2691     5.76           
Pavarde2694    Vardas2694     5.32           
Pavarde2699    Vardas2699     7.16           
Pavarde2701    Vardas2701     5.60           
Pavarde2702    Vardas2702     5.16           
Pavarde2703    Vardas2703     7.32           
Pavarde2705    Vardas2705     7.64           
Pavarde2706    Vardas2706     7.72           
Pavarde2708    Vardas2708     7.64           
Pavarde2711    Vardas2711     6.36           
Pavarde2713    Vardas2713     5.08           
Pavarde2715    Vardas2715     6.08           
Pavarde2719    Vardas2719     6.64           
Pavarde2720    Vardas2720     7.40           
Pavarde2721    Vardas2721     6.84           
Pavarde2722    Vardas2722     8.08           
Pavarde2727    Vardas2727     7.36           
Pavarde2728    Vardas2728     5.56           
Pavarde2730    Vardas2730     5.56           
Pavarde2733    Vardas2733     6.64           
Pavarde2736    Vardas2736     7.72           
Pavarde2738    Vardas2738     5.80           
Pavarde2739    Vardas2739     7.08           
Pavarde2741    Vardas2741     6.00           
Pavarde2744    Vardas2744     7.48           
Pavarde2745    Vardas2745     7.28           
Pavarde2746    Vardas2746     6.84           
Pavarde2747    Vardas2747     8.80           
Pavarde2749    Vardas2749     5.80           
Pavarde2750    Vardas2750     8.00           
Pavarde2752    Vardas2752     5.92           
Pavarde2753    Vardas2753     8.96           
Pavarde2754    Vardas2754     7.48           
Pavarde2755    Vardas2755     5.80           
Pavarde2756    Vardas2756     8.60           
Pavarde2757    Vardas2757     6.00           
Pavarde2761    Vardas2761     6.72           
Pavarde2762    Vardas2762     6.76           
Pavarde2765    Vardas2765     8.48           
Pavarde2766    Vardas2766     6.76           
Pavarde2768    Vardas2768     6.16           
Pavarde2769    Vardas2769     7.92           
Pavarde2770    Vardas2770     7.56           
Pavarde2771    Vardas2771     6.44           
Pavarde2773    Vardas2773     6.24           
Pavarde2774    Vardas2774     6.28           
Pavarde2775    Vardas2775     5.56           
Pavarde2779    Vardas2779     8.44           
Pavarde2780    Vardas2780     7.24           
Pavarde2781    Vardas2781     8.00           
Pavarde2784    Vardas2784     6.88           
Pavarde2785    Vardas2785     8.04           
Pavarde2787    Vardas2787     7.76           
Pavarde2790    Vardas2790     8.56           
Pavarde2792    Vardas2792     6.68           
Pavarde2794    Vardas2794     6.68           
Pavarde2796    Vardas2796     8.64           
Pavarde2799    Vardas2799     6.00           
Pavarde2802    Vardas2802     5.24           
Pavarde2803    Vardas2803     7.00           
Pavarde2805    Vardas2805     5.52           
Pavarde2807    Vardas2807     6.80           
Pavarde2810    Vardas2810     7.28           
Pavarde2811    Vardas2811     6.04           
Pavarde2813    Vardas2813     5.12           
Pavarde2817    Vardas2817     5.04           
Pavarde2818    Vardas2818     7.00           
Pavarde2819    Vardas2819     5.88           
Pavarde2822    Vardas2822     7.28           
Pavarde2825    Vardas2825     8.08           
Pavarde2826    Vardas2826     7.28           
Pavarde2827    Vardas2827     7.60           
Pavarde2834    Vardas2834     5.28           
Pavarde2835    Vardas2835     7.96           
Pavarde2837    Vardas2837     7.12           
Pavarde2838    Vardas2838     5.08           
Pavarde2841    Vardas2841     6.92           
Pavarde2842    Vardas2842     6.08           
Pavarde2843    Vardas2843     6.44           
Pavarde2844    Vardas2844     6.28           
Pavarde2845    Vardas2845     8.48           
Pavarde2847    Vardas2847     7.16           
Pavarde2848    Vardas2848     6.68           
Pavarde2849    Vardas2849     5.76           
Pavarde2850    Vardas2850     5.40           
Pavarde2851    Vardas2851     8.40           
Pavarde2852    Vardas2852     6.60           
Pavarde2853    Vardas2853     7.80           
Pavarde2854    Vardas2854     5.40           
Pavarde2855    Vardas2855     6.12           
Pavarde2856    Vardas2856     5.40           
Pavarde2857    Vardas2857     5.76           
Pavarde2861    Vardas2861     6.16           
Pavarde2862    Vardas2862     6.08           
Pavarde2864    Vardas2864     6.52           
Pavarde2865    Vardas2865     6.08           
Pavarde2866    Vardas2866     7.96           
Pavarde2867    Vardas2867     6.32           
Pavarde2869    Vardas2869     6.20           
Pavarde2870    Vardas2870     6.32           
Pavarde2871    Vardas2871     5.00           
Pavarde2875    Vardas2875     7.76           
Pavarde2876    Vardas2876     6.00           
Pavarde2877    Vardas2877     5.52           
Pavarde2878    Vardas2878     8.16           
Pavarde2879    Vardas2879     5.04           
Pavarde2880    Vardas2880     5.68           
Pavarde2881    Vardas2881     6.28           
Pavarde2882    Vardas2882     5.16           
Pavarde2883    Vardas2883     7.96           
Pavarde2884    Vardas2884     6.76           
Pavarde2885    Vardas2885     7.04           
Pavarde2888    Vardas2888     8.08           
Pavarde2890    Vardas2890     5.64           
Pavarde2893    Vardas2893     8.32           
Pavarde2894    Vardas2894     8.36           
Pavarde2895    Vardas2895     7.36           
Pavarde2897    Vardas2897     6.04           
Pavarde2899    Vardas2899     7.60           
Pavarde2900    Vardas2900     5.08           
Pavarde2902    Vardas2902     5.04           
Pavarde2903    Vardas2903     6.40           
Pavarde2904    Vardas2904     5.28           
Pavarde2907    Vardas2907     5.60           
Pavarde2908    Vardas2908     7.20           
Pavarde2909    Vardas2909     8.16           
Pavarde2911    Vardas2911     7.48           
Pavarde2914    Vardas2914     7.64           
Pavarde2915    Vardas2915     6.44           
Pavarde2917    Vardas2917     8.40           
Pavarde2920    Vardas2920     6.52           
Pavarde2922    Vardas2922     5.88           
Pavarde2930    Vardas2930     5.04           
Pavarde2932    Vardas2932     6.96           
Pavarde2933    Vardas2933     5.36           
Pavarde2934    Vardas2934     7.56           
Pavarde2935    Vardas2935     5.12           
Pavarde2936    Vardas2936     8.80           
Pavarde2938    Vardas2938     5.04           
Pavarde2939    Vardas2939     5.24           
Pavarde2944    Vardas2944     5.80           
Pavarde2945    Vardas2945     7.48           
Pavarde2946    Vardas2946     8.64           
Pavarde2947    Vardas2947     7.28           
Pavarde2950    Vardas2950     6.72           
Pavarde2952    Vardas2952     6.24           
Pavarde2953    Vardas2953     6.12           
Pavarde2954    Vardas2954     6.60           
Pavarde2955    Vardas2955     5.44           
Pavarde2956    Vardas2956     5.32           
Pavarde2958    Vardas2958     6.20           
Pavarde2959    Vardas2959     5.88           
Pavarde2960    Vardas2960     7.00           
Pavarde2961    Vardas2961     7.48           
Pavarde2962    Vardas2962     5.64           
Pavarde2964    Vardas2964     5.04           
Pavarde2965    Vardas2965     6.68           
Pavarde2967    Vardas2967     5.08           
Pavarde2968    Vardas2968     5.60           
Pavarde2972    Vardas2972     6.16           
Pavarde2975    Vardas2975     6.80           
Pavarde2977    Vardas2977     7.04           
Pavarde2982    Vardas2982     5.84           
Pavarde2983    Vardas2983     5.12           
Pavarde2984    Vardas2984     6.16           
Pavarde2986    Vardas2986     5.84           
Pavarde2987    Vardas2987     5.60           
Pavarde2989    Vardas2989     8.24           
Pavarde2991    Vardas2991     9.04           
Pavarde2992    Vardas2992     7.96           
Pavarde2993    Vardas2993     7.96           
Pavarde2994    Vardas2994     7.04           
Pavarde2995    Vardas2995     5.80           
Pavarde2997    Vardas2997     7.48           
Pavarde2998    Vardas2998     8.00           
Pavarde2999    Vardas2999     5.84           
Pavarde3001    Vardas3001     6.84           
Pavarde3004    Vardas3004     7.52           
Pavarde3009    Vardas3009     7.68           
Pavarde3010    Vardas3010     5.48           
Pavarde3012    Vardas3012     7.64           
Pavarde3013    Vardas3013     8.00           
Pavarde3014    Vardas3014     5.36           
Pavarde3015    Vardas3015     5.72           
Pavarde3017    Vardas3017     5.92           
Pavarde3020    Vardas3020     5.76           
Pavarde3022    Vardas3022     8.28           
Pavarde3023    Vardas3023     6.52           
Pavarde3024    Vardas3024     7.12           
Pavarde3025    Vardas3025     7.40           
Pavarde3028    Vardas3028     7.44           
Pavarde3029    Vardas3029     5.88           
Pavarde3031    Vardas3031     5.88           
Pavarde3032    Vardas3032     6.44           
Pavarde3034    Vardas3034     5.56           
Pavarde3035    Vardas3035     6.12           
Pavarde3036    Vardas3036     7.00           
Pavarde3040    Vardas3040     5.00           
Pavarde3046    Vardas3046     6.84           
Pavarde3050    Vardas3050     7.12           
Pavarde3051    Vardas3051     7.64           
Pavarde3052    Vardas3052     7.36           
Pavarde3053    Vardas3053     7.68           
Pavarde3060    Vardas3060     5.60           
Pavarde3063    Vardas3063     6.00           
Pavarde3064    Vardas3064     6.44           
Pavarde3065    Vardas3065     7.68           
Pavarde3066    Vardas3066     5.20           
Pavarde3067    Vardas3067     6.20           
Pavarde3068    Vardas3068     7.96           
Pavarde3069    Vardas3069     8.04           
Pavarde3070    Vardas3070     7.68           
Pavarde3071    Vardas3071     5.48           
Pavarde3072    Vardas3072     5.52           
Pavarde3074    Vardas3074     6.52           
Pavarde3075    Vardas3075     6.36           
Pavarde3076    Vardas3076     8.80           
Pavarde3077    Vardas3077     7.00           
Pavarde3079    Vardas3079     6.88           
Pavarde3081    Vardas3081     7.52           
Pavarde3082    Vardas3082     7.36           
Pavarde3085    Vardas3085     7.36           
Pavarde3086    Vardas3086     5.52           
Pavarde3087    Vardas3087     6.32           
Pavarde3088    Vardas3088     6.52           
Pavarde3089    Vardas3089     5.08           
Pavarde3091    Vardas3091     6.20           
Pavarde3092    Vardas3092     7.28           
Pavarde3096    Vardas3096     6.28           
Pavarde3099    Vardas3099     6.48           
Pavarde3101    Vardas3101     7.80           
Pavarde3102    Vardas3102     6.64           
Pavarde3104    Vardas3104     6.56           
Pavarde3108    Vardas3108     6.16           
Pavarde3113    Vardas3113     8.28           
Pavarde3114    Vardas3114     6.52           
Pavarde3116    Vardas3116     6.00           
Pavarde3117    Vardas3117     5.76           
Pavarde3119    Vardas3119     6.56           
Pavarde3120    Vardas3120     6.48           
Pavarde3121    Vardas3121     7.56           
Pavarde3123    Vardas3123     7.44           
Pavarde3124    Vardas3124     7.52           
Pavarde3128    Vardas3128     6.92           
Pavarde3131    Vardas3131     5.20           
Pavarde3134    Vardas3134     5.76           
Pavarde3135    Vardas3135     6.80           
Pavarde3136    Vardas3136     8.00           
Pavarde3137    Vardas3137     6.88           
Pavarde3138    Vardas3138     7.32           
Pavarde3139    Vardas3139     5.56           
Pavarde3140    Vardas3140     5.08           
Pavarde3141    Vardas3141     6.08           
Pavarde3142    Vardas3142     5.16           
Pavarde3144    Vardas3144     5.04           
Pavarde3145    Vardas3145     6.36           
Pavarde3148    Vardas3148     7.20           
Pavarde3150    Vardas3150     5.64           
Pavarde3151    Vardas3151     5.56           
Pavarde3156    Vardas3156     5.80           
Pavarde3158    Vardas3158     6.88           
Pavarde3159    Vardas3159     9.28           
Pavarde3160    Vardas3160     5.68           
Pavarde3164    Vardas3164     6.28           
Pavarde3165    Vardas3165     6.00           
Pavarde3166    Vardas3166     5.96           
Pavarde3167    Vardas3167     6.80           
Pavarde3169    Vardas3169     6.48           
Pavarde3170    Vardas3170     6.84           
Pavarde3171    Vardas3171     7.44           
Pavarde3172    Vardas3172     6.00           
Pavarde3173    Vardas3173     8.04           
Pavarde3175    Vardas3175     7.08           
Pavarde3177    Vardas3177     5.24           
Pavarde3178    Vardas3178     7.88           
Pavarde3183    Vardas3183     8.72           
Pavarde3184    Vardas3184     6.04           
Pavarde3185    Vardas3185     8.44           
Pavarde3186    Vardas3186     6.80           
Pavarde3187    Vardas3187     6.08           
Pavarde3188    Vardas3188     5.24           
Pavarde3189    Vardas3189     6.44           
Pavarde3190    Vardas3190     8.04           
Pavarde3191    Vardas3191     5.64           
Pavarde3193    Vardas3193     5.68           
Pavarde3194    Vardas3194     6.08           
Pavarde3197    Vardas3197     5.28           
Pavarde3198    Vardas3198     5.96           
Pavarde3199    Vardas3199     5.84           
Pavarde3200    Vardas3200     6.16           
Pavarde3201    Vardas3201     6.52           
